customer,platScalop,Sandwich Baguette XL,Pancake Fruit Secsn,Pizza Chees,Pizza Garden Specieal,Pizza The Hawaiian,Plat Tunisien,SAlade Maison,SAndwich Philly Steak,Sandwich Tuinisien,Sandwich Zinger,Lablebi,sandwich Scalope,Sandwic hAyari
163,0,1,1,1,0,1,0,1,0,0,1,0,1,0
164,0,1,1,1,0,1,1,1,1,1,0,0,0,1
165,1,0,0,0,1,1,0,0,1,1,0,0,0,0
166,1,1,1,1,0,0,0,0,1,1,0,0,0,1
167,1,0,0,0,0,1,0,1,0,1,1,0,1,1
168,1,0,0,0,0,0,1,1,1,0,0,1,1,1
169,1,0,0,1,0,0,0,0,1,1,1,0,1,0
170,0,0,0,0,1,1,0,1,1,0,0,1,1,1
171,1,0,0,0,1,1,1,1,1,1,0,0,0,0
172,0,0,0,0,1,1,1,0,0,1,0,0,0,1
173,0,0,0,1,1,0,0,1,0,1,1,0,1,1
174,0,0,0,0,1,1,0,0,0,0,0,1,0,0
175,0,0,0,0,1,1,0,0,1,0,0,0,0,1
176,1,1,1,1,1,1,0,0,0,1,1,1,0,0
177,0,0,0,0,0,1,1,0,0,1,1,0,0,0
178,1,0,0,0,1,1,1,0,1,1,0,1,1,0
179,0,1,1,0,0,0,0,1,1,0,1,0,0,1
180,1,0,0,1,0,0,1,1,0,0,0,0,1,0
181,0,0,0,1,0,0,0,1,0,0,0,1,0,1
182,0,1,1,1,1,0,1,0,0,1,0,0,1,1
183,0,1,1,0,1,0,0,0,0,0,1,1,0,1
184,0,1,1,0,0,1,0,1,1,0,1,0,0,1
185,1,1,1,0,1,1,0,1,1,1,1,0,1,1
186,0,1,1,1,1,0,1,1,0,1,1,0,0,0
187,1,1,1,1,1,1,0,1,0,0,0,0,1,0
188,1,0,0,1,0,1,0,0,1,0,0,1,0,0
189,0,0,0,0,1,1,1,0,0,1,0,1,0,1
190,1,1,1,1,0,1,1,1,0,0,1,0,1,1
191,1,1,1,0,0,1,0,0,1,1,0,0,1,1
192,0,0,0,1,1,1,0,1,0,1,0,0,0,1
193,0,1,1,0,0,0,0,0,0,1,1,1,0,0
194,0,0,0,0,0,1,0,1,0,0,0,0,0,0
195,0,0,0,1,0,0,0,0,1,0,0,0,0,0
196,1,0,0,0,1,0,0,1,0,0,0,1,1,1
197,1,0,0,1,1,0,0,1,1,0,0,1,1,0
198,0,0,0,0,1,0,1,1,0,1,1,0,1,1
199,1,1,1,1,1,0,0,0,1,1,0,1,1,0
200,0,1,1,0,0,1,1,0,0,0,0,0,1,1
201,0,0,0,0,0,1,1,0,1,1,0,0,0,0
202,0,1,1,0,1,0,0,1,1,0,1,1,1,0
203,1,1,1,0,0,0,0,1,1,1,1,0,1,1
204,1,1,1,0,1,0,0,0,1,1,0,1,1,1
205,0,0,0,1,1,1,1,1,1,0,0,0,1,0
206,1,0,0,1,1,0,0,1,0,0,0,0,1,0
207,1,1,1,0,1,0,0,0,1,0,1,1,1,0
208,1,0,0,0,0,1,1,1,1,0,0,1,1,0
209,1,0,0,0,0,0,1,1,0,0,1,1,1,0
210,1,1,1,0,1,0,0,1,1,1,1,0,0,0
211,1,1,1,0,1,1,1,1,1,0,1,1,1,1
212,0,0,0,0,1,0,0,0,1,1,0,1,0,0
213,0,0,0,1,0,0,1,1,0,0,1,0,1,0
214,0,0,0,1,1,0,0,0,1,1,0,1,1,1
215,0,0,0,0,0,0,1,0,1,1,1,1,1,1
216,0,0,0,0,1,1,1,1,1,1,0,1,0,1
217,0,0,0,1,0,1,1,0,1,1,1,1,0,0
218,1,0,0,0,0,0,1,1,1,0,1,1,1,0
219,0,1,1,1,0,1,1,1,1,0,0,1,1,1
220,0,1,1,0,1,1,0,1,0,0,1,0,0,0
221,0,1,1,0,0,1,1,1,0,0,0,1,0,0
222,1,1,1,1,1,1,0,0,1,1,1,0,0,1
223,0,1,1,0,0,1,0,0,1,0,1,1,1,1
224,0,0,0,1,0,0,0,1,0,0,0,1,1,0
225,1,0,0,1,0,0,0,1,0,1,0,1,1,1
226,1,1,1,1,0,0,1,0,0,1,1,0,1,1
227,1,1,1,0,0,0,1,1,1,1,0,0,1,1
228,0,1,1,1,1,0,1,1,0,0,1,1,0,0
229,0,0,0,1,0,1,1,0,1,1,0,1,1,1
230,1,1,1,1,1,0,1,1,1,1,1,0,0,1
231,0,0,0,1,1,0,0,1,0,0,1,1,0,1
232,1,1,1,1,0,0,1,1,0,1,0,0,1,0
233,0,1,1,0,1,0,1,0,1,0,0,1,0,0
234,0,0,0,1,1,1,0,1,0,1,1,0,0,0
235,1,1,1,1,1,1,1,0,1,1,0,1,1,1
236,0,1,1,1,1,1,1,0,0,0,0,0,1,0
237,1,0,0,0,0,1,1,0,1,0,0,0,1,1
238,1,0,0,0,1,1,1,0,0,1,1,1,0,0
239,0,0,0,0,1,0,1,0,1,1,1,1,0,0
240,1,1,1,0,1,1,0,0,0,1,1,0,0,1
241,1,0,0,1,1,0,0,0,0,1,1,1,0,0
242,1,1,1,1,0,1,1,0,0,1,0,0,0,0
243,0,1,1,0,1,0,1,0,1,1,0,1,0,1
244,0,0,0,0,0,0,0,0,1,0,1,0,0,0
245,0,0,0,1,1,0,0,0,0,1,0,1,1,0
246,0,0,0,1,0,0,0,0,0,1,1,0,1,0
247,1,0,0,1,0,1,0,0,0,0,1,0,0,1
248,1,0,0,1,0,1,0,0,0,1,0,1,1,1
249,1,1,1,1,1,0,1,0,1,1,0,1,0,0
250,1,1,1,1,1,1,1,1,0,1,1,0,1,1
251,1,1,1,0,1,1,0,1,0,0,1,0,0,1
252,1,0,0,1,1,1,0,0,0,1,1,1,0,1
253,1,0,0,0,1,1,0,1,0,1,0,1,0,0
254,0,1,1,0,0,1,1,1,1,1,1,1,1,0
255,0,0,0,0,1,0,1,0,1,1,1,1,1,0
256,1,0,0,0,1,0,1,1,1,1,1,0,1,0
257,1,1,1,0,0,0,1,0,0,1,1,0,1,0
258,0,1,1,0,0,0,1,0,0,0,0,1,1,0
259,0,0,0,0,0,1,0,0,1,0,0,1,1,0
260,1,0,0,0,1,0,0,1,1,0,0,0,1,1
261,0,1,1,1,0,0,0,0,1,1,0,1,1,0
262,0,1,1,1,0,0,0,0,0,1,0,1,1,1
263,0,1,1,1,1,1,0,0,0,1,1,0,0,0
264,0,0,0,1,1,0,0,0,1,0,1,0,0,0
265,1,0,0,0,0,0,1,1,0,0,1,0,0,0
266,1,0,0,0,1,1,0,0,0,1,0,1,1,0
267,0,1,1,1,1,0,0,0,1,1,1,0,0,0
268,0,0,0,0,0,1,0,1,0,0,0,0,1,0
269,0,1,1,1,1,0,0,0,0,1,0,1,0,0
270,1,1,1,1,0,1,1,1,1,1,1,0,1,0
271,0,1,1,0,0,1,0,0,0,0,0,1,0,0
272,0,0,0,0,1,1,0,0,1,0,1,1,1,0
273,0,1,1,0,1,0,0,0,1,0,0,1,0,0
274,0,1,1,0,0,1,1,0,0,0,0,1,0,0
275,0,1,1,0,0,1,0,1,1,0,1,1,0,0
276,1,0,0,0,0,0,0,1,1,0,0,0,0,0
277,1,1,1,0,1,0,0,0,1,1,0,1,0,0
278,1,1,1,1,0,1,1,0,1,0,1,1,1,0
279,1,1,1,1,0,1,1,0,0,1,0,1,1,1
280,0,1,1,0,0,0,1,0,0,1,0,1,1,1
281,1,0,0,1,1,1,1,0,1,0,1,1,1,1
282,0,1,1,0,1,1,1,1,0,0,0,1,0,1
283,0,0,0,1,0,0,0,0,0,1,0,0,1,1
284,0,0,0,0,0,1,0,1,0,1,1,1,0,0
285,0,1,1,1,0,0,0,1,0,1,1,1,0,1
286,1,1,1,1,1,1,1,1,1,1,0,0,1,1
287,0,1,1,0,0,1,1,1,1,0,1,1,1,0
288,1,0,0,0,0,0,0,1,1,1,0,1,0,1
289,0,1,1,1,0,0,0,1,1,0,0,0,1,1
290,0,1,1,1,0,1,0,0,0,0,1,1,0,1
291,0,0,0,1,0,0,1,1,1,0,0,1,1,1
292,1,1,1,0,0,0,0,0,0,1,1,1,0,0
293,1,0,0,0,1,0,0,0,1,1,1,0,1,1
294,1,0,0,0,1,1,1,1,0,0,0,0,0,1
295,0,0,0,1,1,1,0,1,0,0,0,0,0,0
296,1,1,1,1,0,1,0,0,1,1,0,0,0,1
297,1,1,1,1,1,0,1,0,0,1,1,0,1,0
298,1,0,0,0,0,0,0,0,1,0,1,0,1,1
299,1,1,1,1,1,1,0,0,1,1,1,0,1,0
300,0,1,1,1,0,1,0,1,0,1,1,1,1,0
301,0,0,0,0,0,1,1,1,0,1,1,1,1,0
302,1,0,0,1,0,1,1,1,0,1,1,1,0,1
303,0,0,0,1,1,0,0,0,1,0,1,0,1,1
304,1,0,0,0,0,0,0,0,1,0,1,0,0,0
305,0,1,1,0,0,0,1,1,1,0,0,0,1,0
306,0,1,1,0,1,0,0,1,0,0,1,0,1,0
307,1,1,1,0,0,1,1,1,0,1,0,1,0,1
308,1,1,1,1,1,1,1,0,1,0,1,0,1,1
309,1,0,0,0,1,0,1,0,1,1,0,1,1,0
310,1,1,1,0,1,1,0,0,0,0,1,0,1,0
311,0,0,0,1,1,0,0,0,1,1,0,1,1,1
312,1,0,0,0,0,0,1,0,0,1,0,1,0,0
313,0,1,1,1,1,1,1,0,0,1,1,0,0,0
314,1,0,0,0,1,0,1,0,0,0,0,1,0,0
315,0,0,0,1,1,1,1,1,0,0,0,1,1,0
316,0,0,0,1,0,1,1,1,0,1,1,0,0,0
317,1,1,1,0,0,0,1,0,1,0,0,1,1,1
318,0,0,0,0,1,0,0,1,1,1,1,0,0,1
319,1,0,0,1,0,1,0,0,1,0,0,1,0,0
320,1,1,1,0,1,0,0,0,0,0,0,1,0,0
321,1,1,1,1,0,1,0,1,1,0,1,1,0,0
322,0,0,0,1,0,1,1,0,1,0,1,0,1,0
323,1,0,0,0,0,0,0,1,0,0,1,0,1,1
324,0,1,1,0,0,1,1,1,1,1,1,0,1,0
325,1,0,0,0,1,1,0,0,1,0,1,1,0,0
326,0,1,1,1,0,0,1,1,1,1,1,1,0,0
327,0,0,0,0,1,0,1,0,0,1,0,0,0,0
328,0,1,1,1,0,1,1,1,1,0,1,1,1,1
329,1,0,0,0,1,0,1,1,0,0,1,1,0,1
330,1,1,1,1,1,0,0,0,0,1,0,0,1,0
331,0,0,0,1,1,0,1,0,1,1,1,1,0,1
332,0,1,1,0,0,0,1,0,1,1,0,1,1,0
333,0,0,0,1,1,0,1,1,1,0,1,1,0,0
334,0,1,1,1,1,1,1,1,0,1,1,1,0,0
335,1,0,0,1,1,0,0,1,0,1,0,1,1,1
336,0,1,1,1,1,1,0,0,1,0,0,1,1,0
337,1,1,1,1,1,0,1,1,1,1,1,1,0,0
338,1,0,0,0,0,1,0,1,1,1,0,0,1,1
339,1,1,1,1,1,1,1,1,0,0,0,1,1,1
340,1,0,0,0,0,0,1,0,1,1,1,0,1,1
341,0,0,0,1,0,1,0,1,0,0,1,0,1,1
342,0,0,0,1,0,0,1,1,1,0,1,0,0,1
343,0,1,1,0,0,1,1,1,1,0,0,0,1,0
344,1,0,0,1,0,0,0,0,1,1,0,0,1,1
345,1,1,1,0,1,1,1,1,1,1,0,1,1,1
346,1,1,1,1,1,0,0,0,1,0,0,1,1,0
347,1,0,0,0,1,1,1,0,0,0,0,1,1,1
348,0,0,0,0,1,1,1,0,0,0,1,1,1,0
349,0,1,1,0,1,1,1,0,0,0,1,0,0,1
350,0,0,0,0,1,0,1,1,0,0,1,1,0,0
351,1,1,1,0,0,0,0,0,1,0,1,0,1,0
352,1,1,1,0,1,0,1,0,1,0,0,1,0,1
353,0,0,0,1,1,0,0,1,1,0,1,1,1,0
354,0,0,0,1,1,1,1,1,1,0,1,0,0,1
355,1,1,1,1,0,1,0,1,0,0,1,0,0,0
356,0,1,1,0,0,0,1,0,0,1,1,0,0,1
357,0,0,0,0,1,0,0,0,1,0,1,1,1,0
358,0,0,0,1,0,0,0,0,0,1,1,0,0,0
359,0,1,1,0,0,1,0,0,0,1,0,1,1,0
360,1,0,0,1,1,1,0,1,1,1,0,1,0,0
361,1,1,1,1,0,0,1,0,1,0,0,0,1,0
362,0,1,1,0,0,0,1,1,0,1,1,0,0,1
363,0,0,0,0,1,0,0,0,0,1,1,0,0,1
364,0,0,0,1,0,0,1,1,0,0,1,1,0,0
365,1,0,0,0,0,1,1,0,1,1,1,0,1,0
366,0,1,1,0,0,1,1,0,0,0,1,1,0,1
367,0,0,0,1,1,0,1,0,0,1,1,1,1,0
368,0,1,1,0,0,1,1,1,1,1,1,0,1,0
369,1,0,0,0,0,1,0,0,0,1,0,0,1,1
370,1,1,1,0,1,0,0,1,0,0,0,0,1,1
371,0,1,1,0,0,0,0,0,1,0,0,0,0,0
372,0,1,1,0,1,1,0,1,1,1,1,0,0,0
373,1,0,0,1,1,1,0,1,1,0,0,1,0,0
374,0,0,0,0,0,0,1,1,0,1,0,1,1,1
375,0,0,0,1,0,1,1,0,1,1,1,0,0,0
376,1,0,0,0,0,1,0,1,0,0,0,0,0,0
377,1,0,0,1,1,1,1,1,1,0,1,1,1,0
378,1,1,1,0,1,1,0,1,1,0,0,0,0,1
379,0,0,0,0,0,0,1,0,0,0,1,1,1,0
380,1,0,0,1,1,1,1,1,1,1,0,1,0,0
381,1,0,0,1,0,1,1,0,1,0,1,1,0,0
382,1,1,1,0,1,0,1,0,0,0,1,1,1,0
383,0,0,0,1,1,1,1,0,0,0,1,1,1,1
384,1,0,0,0,0,0,0,1,0,1,0,0,1,1
385,1,1,1,1,1,0,0,0,0,1,0,0,1,0
386,0,0,0,0,0,1,1,1,0,0,0,1,1,1
387,0,1,1,1,0,0,0,1,0,0,1,0,1,0
388,0,0,0,0,1,0,1,0,0,1,0,1,1,0
389,1,1,1,1,1,1,1,0,0,0,1,1,1,0
390,1,1,1,1,0,0,1,1,0,1,1,1,1,1
391,1,1,1,0,1,0,0,0,0,1,1,1,1,0
392,1,0,0,0,0,1,0,1,1,1,0,0,0,0
393,1,0,0,1,1,0,1,1,0,0,0,0,0,0
394,1,0,0,0,0,1,0,0,1,1,1,1,1,1
395,1,1,1,0,0,1,0,0,0,1,1,1,1,1
396,0,0,0,1,0,1,1,1,1,1,0,1,1,1
397,0,0,0,0,1,0,1,1,0,0,1,0,1,1
398,1,0,0,0,0,0,0,0,0,0,1,0,1,1
399,1,1,1,0,0,1,0,0,1,0,1,1,0,1
400,1,1,1,1,0,1,0,1,1,1,0,0,0,1
401,0,0,0,1,1,1,1,1,0,1,1,1,1,1
402,0,0,0,0,0,1,0,1,1,1,1,0,1,0
403,0,1,1,0,1,1,1,0,1,1,0,0,1,0
404,0,1,1,0,1,0,0,1,1,1,0,0,1,0
405,0,1,1,1,1,1,1,1,0,1,0,0,1,0
406,1,0,0,1,1,0,1,1,0,0,0,0,1,1
407,0,1,1,1,1,0,0,0,0,0,0,1,1,1
408,0,0,0,1,1,0,0,1,0,0,0,0,1,0
409,1,1,1,1,0,0,1,0,1,0,1,0,1,1
410,1,1,1,0,0,0,0,0,1,0,0,0,0,1
411,0,1,1,1,1,0,0,1,1,1,0,1,1,0
412,0,0,0,1,1,1,0,0,1,1,1,0,1,0
413,0,0,0,1,1,0,0,0,1,1,1,0,0,0
414,1,0,0,1,1,1,1,1,0,1,0,0,0,1
415,1,1,1,0,0,0,1,0,0,1,0,0,1,0
416,1,1,1,0,0,1,1,0,1,1,0,0,1,0
417,0,0,0,1,0,1,0,1,0,1,1,0,0,0
418,0,1,1,1,0,1,1,1,0,1,0,1,1,0
419,0,0,0,0,0,0,1,1,1,1,1,0,1,1
420,0,0,0,1,1,0,1,0,1,0,1,1,1,1
421,1,0,0,0,1,1,1,1,1,0,1,1,0,1
422,0,0,0,1,0,1,0,0,0,0,1,0,1,1
423,0,1,1,1,0,1,1,0,0,1,1,0,1,0
424,0,1,1,1,0,1,1,1,0,0,1,0,0,0
425,0,1,1,0,0,1,1,0,1,1,1,1,0,1
426,1,0,0,0,1,1,1,1,1,0,0,0,1,0
427,0,0,0,1,0,0,0,1,1,1,1,0,1,1
428,1,0,0,0,1,0,0,0,1,0,1,0,0,0
429,1,0,0,0,0,0,0,0,1,0,0,1,0,1
430,0,0,0,0,1,0,0,0,0,0,1,0,1,1
431,1,1,1,1,0,1,1,0,0,1,1,0,0,1
432,0,0,0,1,1,1,0,1,0,1,1,1,0,1
433,0,0,0,0,1,1,0,1,1,0,1,0,0,1
434,1,0,0,1,0,1,1,0,1,0,0,1,0,0
435,0,0,0,0,0,0,1,0,1,0,0,0,1,1
436,1,1,1,1,0,0,1,1,0,1,1,0,0,1
437,0,0,0,1,1,1,0,1,1,0,1,1,1,0
438,0,0,0,1,1,1,0,1,1,0,0,1,0,1
439,1,1,1,1,0,1,1,0,1,0,0,1,1,1
440,0,1,1,1,1,0,0,0,0,1,1,1,0,0
441,0,0,0,1,0,1,1,1,1,1,1,0,0,0
442,1,0,0,0,1,1,0,1,0,1,1,1,1,1
443,1,0,0,0,1,1,0,0,0,0,1,1,1,0
444,0,1,1,1,1,1,0,0,1,0,1,0,1,1
445,0,1,1,0,0,1,0,0,1,0,1,0,0,0
446,1,0,0,1,1,1,0,1,0,1,1,1,0,1
447,1,0,0,1,1,0,1,0,0,0,1,0,1,0
448,0,1,1,1,0,0,0,0,1,0,1,0,1,0
449,1,1,1,1,1,1,0,0,0,1,1,0,0,0
450,1,0,0,1,0,0,0,1,1,1,1,0,1,0
451,0,1,1,0,0,1,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,1,0,0,0,1,1,0
453,1,0,0,0,1,0,0,0,0,1,1,1,0,0
454,0,0,0,1,1,1,0,0,0,0,0,0,0,1
455,1,1,1,1,0,1,1,0,0,1,1,1,1,0
456,1,1,1,1,1,1,0,1,1,1,0,0,0,1
457,0,0,0,1,0,1,0,0,0,1,1,0,1,1
