idCustomer,AgeCustomer,Gender,AdressCustomer,CommandeCustom,
99.0,54.0,Homme,Cité Intilaka,makloub,
100.0,41.0,Femme,Cité tadamon,Crepe,
101.0,46.0,Homme,Cité tadamon,Crepe,
102.0,34.0,Femme,Lafayet,Burgers,
103.0,20.0,Homme,Cité Nasr,Salade,
104.0,51.0,Femme,Cité Nasr,makloub,
105.0,45.0,Femme,Gamart,pizza,
106.0,34.0,Homme,Borj louzir,pizza,
107.0,42.0,Homme,Ghazale,Salade,
108.0,26.0,Femme,Gamart,Burgers,
109.0,35.0,Femme,lac1,Salade,
110.0,53.0,Femme,Gamart,sandwitch,
111.0,35.0,Femme,lac1,Crepe,
112.0,34.0,Femme,Borj louzir,makloub,
113.0,33.0,Homme,Ghazale,Salade,
114.0,54.0,Homme,Lafayet,makloub,
115.0,36.0,Homme,lac1,Crepe,
116.0,45.0,Homme,Marsa,Burgers,
117.0,23.0,Femme,Borj louzir,Salade,
118.0,49.0,Femme,Cité tadamon,Burgers,
119.0,36.0,Homme,Gamart,pizza,
120.0,38.0,Homme,lac1,Burgers,
121.0,50.0,Femme,CentreHurbainNord,Salade,
122.0,41.0,Femme,Ghazale,sandwitch,
123.0,42.0,Homme,Cité Intilaka,Salade,
124.0,38.0,Femme,Lafayet,Burgers,
125.0,30.0,Femme,Ghazale,Crepe,
126.0,36.0,Homme,Cité tadamon,Salade,
127.0,38.0,Femme,lac1,pizza,
128.0,40.0,Femme,Ariana,makloub,
129.0,41.0,Homme,Manzeh,Burgers,
130.0,40.0,Femme,lac1,Salade,
131.0,47.0,Homme,CentreHurbainNord,Salade,
132.0,35.0,Femme,Lafayet,pizza,
133.0,29.0,Homme,Ariana,makloub,
134.0,54.0,Femme,lac1,pizza,
135.0,34.0,Femme,Ghazale,Crepe,
136.0,21.0,Femme,Cité tadamon,Crepe,
137.0,26.0,Homme,Borj louzir,Salade,
138.0,54.0,Femme,Cité tadamon,sandwitch,
139.0,53.0,Femme,Lafayet,Crepe,
140.0,38.0,Homme,Ariana,sandwitch,
141.0,38.0,Femme,CentreHurbainNord,pizza,
142.0,22.0,Homme,Marsa,sandwitch,
143.0,55.0,Homme,CentreHurbainNord,pizza,
144.0,22.0,Homme,Cité tadamon,sandwitch,
145.0,28.0,Homme,CentreHurbainNord,Burgers,
146.0,29.0,Femme,Gamart,pizza,
147.0,34.0,Femme,lac1,Crepe,
148.0,22.0,Homme,Cité tadamon,Salade,
149.0,35.0,Homme,Borj louzir,Salade,
150.0,53.0,Homme,Ghazale,pizza,
151.0,25.0,Homme,Manar,Salade,
152.0,20.0,Homme,Borj louzir,makloub,
153.0,22.0,Homme,Ghazale,Crepe,
154.0,54.0,Homme,Manzeh,Salade,
155.0,44.0,Homme,lac1,pizza,
156.0,45.0,Homme,CentreHurbainNord,makloub,
157.0,27.0,Homme,Borj louzir,pizza,
158.0,22.0,Homme,Manar,pizza,
159.0,36.0,Femme,Cité Intilaka,pizza,
160.0,32.0,Femme,Manzeh,makloub,
161.0,24.0,Femme,Cité Nasr,Burgers,
162.0,44.0,Homme,Manzeh,Burgers,
163.0,54.0,Homme,Manzeh,makloub,
164.0,20.0,Homme,Manar,pizza,
165.0,54.0,Homme,Ghazale,makloub,
166.0,45.0,Homme,Manar,pizza,
167.0,54.0,Homme,Gamart,pizza,
168.0,43.0,Homme,Lafayet,Salade,
169.0,28.0,Homme,Lafayet,makloub,
170.0,35.0,Homme,CentreHurbainNord,Burgers,
171.0,36.0,Homme,Cité Intilaka,Salade,
172.0,45.0,Homme,Cité Intilaka,sandwitch,
173.0,53.0,Homme,Borj louzir,Burgers,
174.0,28.0,Homme,Cité Nasr,Burgers,
175.0,32.0,Femme,Manzeh,makloub,
176.0,24.0,Homme,Cité Nasr,sandwitch,
177.0,51.0,Homme,Marsa,Crepe,
178.0,54.0,Femme,lac1,makloub,
179.0,26.0,Femme,Ariana,pizza,
180.0,46.0,Homme,Manzeh,Crepe,
181.0,47.0,Femme,Borj louzir,makloub,
182.0,42.0,Femme,Gamart,Salade,
183.0,55.0,Femme,Lafayet,Crepe,
184.0,34.0,Homme,Ghazale,makloub,
185.0,24.0,Femme,Manar,Crepe,
186.0,30.0,Homme,Cité tadamon,pizza,
187.0,43.0,Femme,Manar,makloub,
188.0,29.0,Femme,Borj louzir,Crepe,
189.0,23.0,Femme,Cité tadamon,Salade,
190.0,24.0,Homme,Gamart,makloub,
191.0,54.0,Femme,lac1,Salade,
192.0,54.0,Femme,Cité tadamon,Crepe,
193.0,35.0,Homme,Gamart,makloub,
194.0,30.0,Femme,lac1,sandwitch,
195.0,51.0,Homme,Cité Intilaka,Burgers,
196.0,46.0,Homme,Borj louzir,Crepe,
197.0,20.0,Homme,Manzeh,pizza,
198.0,52.0,Femme,Lafayet,sandwitch,
199.0,46.0,Femme,Manzeh,pizza,
200.0,21.0,Femme,Ariana,pizza,
201.0,42.0,Homme,Cité tadamon,Crepe,
202.0,44.0,Homme,CentreHurbainNord,sandwitch,
203.0,54.0,Femme,Lafayet,sandwitch,
204.0,54.0,Homme,Ariana,Burgers,
205.0,32.0,Femme,Manzeh,Salade,
206.0,39.0,Femme,Cité tadamon,Burgers,
207.0,44.0,Femme,Cité tadamon,Burgers,
208.0,52.0,Femme,lac1,pizza,
209.0,21.0,Homme,Lafayet,Salade,
210.0,35.0,Homme,Lafayet,Crepe,
211.0,55.0,Femme,Manar,pizza,
212.0,54.0,Homme,Cité Intilaka,pizza,
213.0,55.0,Femme,Cité tadamon,makloub,
214.0,36.0,Femme,Ghazale,pizza,
215.0,39.0,Femme,Cité tadamon,pizza,
216.0,47.0,Homme,CentreHurbainNord,Burgers,
217.0,36.0,Homme,Gamart,pizza,
218.0,38.0,Femme,Ghazale,Burgers,
219.0,30.0,Homme,Ariana,pizza,
220.0,47.0,Femme,Cité Intilaka,Salade,
221.0,42.0,Femme,Manar,pizza,
222.0,41.0,Femme,Marsa,Burgers,
223.0,25.0,Homme,Marsa,Crepe,
224.0,24.0,Femme,Borj louzir,sandwitch,
225.0,54.0,Femme,Ariana,pizza,
226.0,18.0,Homme,Cité Intilaka,Burgers,
227.0,37.0,Homme,lac1,sandwitch,
228.0,31.0,Homme,Cité Nasr,Crepe,
229.0,36.0,Homme,lac1,makloub,
230.0,27.0,Homme,Ghazale,Burgers,
231.0,55.0,Femme,Ghazale,makloub,
232.0,48.0,Homme,lac1,pizza,
233.0,40.0,Femme,Lafayet,sandwitch,
234.0,40.0,Femme,CentreHurbainNord,Crepe,
235.0,55.0,Homme,Manzeh,pizza,
236.0,55.0,Femme,Gamart,Salade,
237.0,48.0,Femme,Marsa,makloub,
238.0,23.0,Femme,Cité Nasr,makloub,
239.0,28.0,Homme,CentreHurbainNord,Salade,
240.0,20.0,Homme,Manzeh,sandwitch,
241.0,45.0,Femme,Cité tadamon,Crepe,
242.0,30.0,Homme,Gamart,makloub,
243.0,55.0,Homme,Gamart,Crepe,
244.0,33.0,Femme,Cité Nasr,Crepe,
245.0,26.0,Femme,Marsa,makloub,
246.0,27.0,Femme,Marsa,Salade,
247.0,43.0,Femme,Lafayet,sandwitch,
248.0,26.0,Femme,Cité Intilaka,sandwitch,
249.0,20.0,Homme,Borj louzir,sandwitch,
250.0,42.0,Homme,Cité tadamon,Salade,
251.0,19.0,Femme,Lafayet,Crepe,
252.0,43.0,Homme,Cité Intilaka,Crepe,
253.0,54.0,Homme,Ghazale,sandwitch,
254.0,21.0,Femme,Manar,Burgers,
255.0,47.0,Homme,Gamart,sandwitch,
256.0,39.0,Homme,Manar,Crepe,
257.0,30.0,Femme,Manzeh,pizza,
258.0,28.0,Femme,Manzeh,Burgers,
259.0,21.0,Femme,Borj louzir,Salade,
260.0,25.0,Femme,Cité Intilaka,pizza,
261.0,37.0,Homme,Cité Intilaka,sandwitch,
262.0,39.0,Femme,Ariana,makloub,
263.0,26.0,Femme,Lafayet,sandwitch,
264.0,29.0,Femme,Cité tadamon,Burgers,
265.0,46.0,Femme,Lafayet,Burgers,
266.0,32.0,Femme,Manzeh,sandwitch,
267.0,56.0,Homme,Borj louzir,pizza,
268.0,22.0,Homme,Ariana,makloub,
269.0,39.0,Homme,Manzeh,Burgers,
270.0,46.0,Femme,Cité Intilaka,pizza,
271.0,35.0,Femme,Cité Nasr,pizza,
272.0,41.0,Femme,Marsa,Salade,
273.0,31.0,Homme,Cité Nasr,Salade,
274.0,26.0,Femme,Cité tadamon,Crepe,
275.0,31.0,Homme,Ariana,pizza,
276.0,28.0,Homme,Manzeh,pizza,
277.0,40.0,Femme,Gamart,Crepe,
278.0,53.0,Femme,lac1,sandwitch,
279.0,29.0,Femme,Borj louzir,Salade,
280.0,47.0,Homme,lac1,Burgers,
281.0,47.0,Femme,Ghazale,Salade,
282.0,27.0,Homme,Manar,Burgers,
283.0,54.0,Homme,Manzeh,makloub,
284.0,39.0,Femme,Gamart,Crepe,
285.0,30.0,Homme,Cité Nasr,pizza,
286.0,18.0,Femme,Manzeh,sandwitch,
287.0,40.0,Homme,CentreHurbainNord,sandwitch,
288.0,42.0,Homme,Lafayet,sandwitch,
289.0,52.0,Femme,Cité Nasr,pizza,
290.0,22.0,Homme,lac1,Salade,
291.0,48.0,Homme,Gamart,pizza,
292.0,20.0,Homme,Manzeh,Salade,
293.0,44.0,Femme,Manar,makloub,
294.0,55.0,Femme,Marsa,makloub,
295.0,49.0,Homme,Ariana,Salade,
296.0,55.0,Femme,Borj louzir,makloub,
297.0,37.0,Femme,CentreHurbainNord,makloub,
298.0,24.0,Homme,Ariana,makloub,
299.0,46.0,Femme,Gamart,makloub,
300.0,30.0,Homme,Borj louzir,Burgers,
301.0,21.0,Femme,Ariana,pizza,
302.0,49.0,Homme,Gamart,makloub,
303.0,43.0,Femme,Ghazale,makloub,
304.0,20.0,Femme,Manzeh,sandwitch,
305.0,54.0,Femme,Borj louzir,makloub,
306.0,42.0,Femme,Manzeh,sandwitch,
307.0,48.0,Femme,Lafayet,Salade,
308.0,27.0,Femme,Manzeh,Salade,
309.0,33.0,Homme,Cité Nasr,sandwitch,
310.0,43.0,Homme,Ghazale,Salade,
311.0,34.0,Homme,Cité Nasr,Salade,
312.0,44.0,Femme,Ghazale,Crepe,
313.0,40.0,Femme,Ghazale,makloub,
314.0,23.0,Homme,Manzeh,pizza,
315.0,37.0,Femme,Lafayet,Crepe,
316.0,32.0,Homme,Cité tadamon,makloub,
317.0,39.0,Femme,Manzeh,sandwitch,
318.0,36.0,Homme,Ariana,makloub,
319.0,53.0,Femme,Lafayet,Burgers,
320.0,56.0,Femme,Manar,sandwitch,
321.0,52.0,Homme,Lafayet,Crepe,
322.0,43.0,Femme,Marsa,makloub,
323.0,43.0,Homme,Ariana,pizza,
324.0,35.0,Homme,lac1,Salade,
325.0,22.0,Homme,Cité Intilaka,Salade,
326.0,50.0,Femme,Cité Intilaka,sandwitch,
327.0,49.0,Femme,Marsa,makloub,
328.0,47.0,Homme,Gamart,pizza,
329.0,32.0,Femme,Cité tadamon,sandwitch,
330.0,44.0,Femme,Ghazale,Crepe,
331.0,41.0,Homme,Gamart,pizza,
332.0,39.0,Femme,Gamart,makloub,
333.0,44.0,Femme,Marsa,makloub,
334.0,49.0,Femme,Lafayet,Burgers,
335.0,46.0,Femme,Cité Nasr,makloub,
336.0,48.0,Femme,Cité Nasr,Crepe,
337.0,21.0,Femme,Borj louzir,makloub,
338.0,40.0,Homme,Ariana,Salade,
339.0,45.0,Homme,Lafayet,pizza,
340.0,22.0,Femme,Manzeh,Crepe,
341.0,34.0,Homme,Cité Intilaka,pizza,
342.0,27.0,Femme,lac1,pizza,
343.0,49.0,Femme,Manzeh,pizza,
344.0,50.0,Femme,Ariana,sandwitch,
345.0,29.0,Femme,Manzeh,Salade,
346.0,26.0,Femme,Manar,Crepe,
347.0,49.0,Femme,CentreHurbainNord,sandwitch,
348.0,50.0,Femme,Cité Nasr,sandwitch,
349.0,23.0,Homme,Cité tadamon,Salade,
350.0,48.0,Homme,Cité Intilaka,Salade,
351.0,18.0,Femme,Gamart,makloub,
352.0,54.0,Homme,Ariana,Burgers,
353.0,31.0,Homme,CentreHurbainNord,Salade,
354.0,22.0,Homme,Cité Nasr,makloub,
355.0,50.0,Homme,Ghazale,pizza,
356.0,31.0,Femme,Cité Nasr,sandwitch,
357.0,53.0,Homme,Lafayet,Crepe,
358.0,36.0,Homme,Manar,makloub,
359.0,50.0,Homme,CentreHurbainNord,sandwitch,
360.0,35.0,Homme,Ghazale,makloub,
361.0,51.0,Femme,Cité Intilaka,sandwitch,
362.0,27.0,Femme,Borj louzir,Salade,
363.0,40.0,Homme,Ariana,Burgers,
364.0,37.0,Femme,Manzeh,sandwitch,
365.0,35.0,Femme,Borj louzir,sandwitch,
366.0,41.0,Homme,CentreHurbainNord,Burgers,
367.0,35.0,Femme,Ariana,sandwitch,
368.0,46.0,Femme,Gamart,Crepe,
369.0,27.0,Femme,Marsa,sandwitch,
370.0,47.0,Homme,CentreHurbainNord,pizza,
371.0,42.0,Homme,lac1,pizza,
372.0,32.0,Femme,Ariana,Burgers,
373.0,41.0,Homme,Manzeh,Burgers,
374.0,39.0,Femme,CentreHurbainNord,makloub,
375.0,27.0,Homme,Cité tadamon,Burgers,
376.0,35.0,Femme,lac1,pizza,
377.0,34.0,Homme,Cité Nasr,pizza,
378.0,38.0,Femme,Cité tadamon,sandwitch,
379.0,52.0,Femme,Cité tadamon,pizza,
380.0,29.0,Homme,Cité Nasr,Burgers,
381.0,25.0,Femme,Ariana,pizza,
382.0,25.0,Homme,lac1,Crepe,
383.0,42.0,Homme,Borj louzir,Salade,
384.0,28.0,Femme,Marsa,Crepe,
385.0,46.0,Femme,Lafayet,Burgers,
386.0,55.0,Femme,Borj louzir,makloub,
387.0,21.0,Femme,Manar,sandwitch,
388.0,50.0,Homme,Cité tadamon,sandwitch,
389.0,19.0,Femme,Manzeh,Burgers,
390.0,41.0,Homme,Cité Intilaka,makloub,
391.0,30.0,Homme,Ariana,makloub,
392.0,46.0,Homme,Ghazale,Burgers,
393.0,38.0,Femme,Manzeh,Salade,
394.0,55.0,Homme,Cité tadamon,Burgers,
395.0,24.0,Homme,Cité tadamon,Burgers,
396.0,33.0,Homme,CentreHurbainNord,Salade,
397.0,46.0,Homme,CentreHurbainNord,Burgers,
398.0,32.0,Femme,Lafayet,Salade,
399.0,30.0,Homme,Manar,Salade,
400.0,27.0,Homme,Marsa,makloub,
401.0,31.0,Femme,Marsa,Crepe,
402.0,48.0,Homme,Cité tadamon,sandwitch,
403.0,45.0,Homme,Borj louzir,pizza,
404.0,29.0,Homme,Gamart,Burgers,
405.0,51.0,Homme,Cité Intilaka,Salade,
406.0,39.0,Femme,Manar,sandwitch,
407.0,48.0,Femme,Cité Intilaka,makloub,
408.0,25.0,Homme,Cité Nasr,Crepe,
409.0,28.0,Femme,Lafayet,Burgers,
410.0,43.0,Femme,Cité Nasr,Crepe,
411.0,41.0,Femme,Manar,sandwitch,
412.0,41.0,Homme,Borj louzir,Crepe,
413.0,23.0,Femme,Ariana,Crepe,
414.0,37.0,Femme,Ariana,Crepe,
415.0,24.0,Homme,Ariana,makloub,
416.0,26.0,Homme,Manzeh,Salade,
417.0,43.0,Femme,Cité tadamon,pizza,
418.0,31.0,Homme,Cité Intilaka,Salade,
419.0,34.0,Femme,Cité Nasr,Crepe,
420.0,28.0,Homme,Gamart,makloub,
421.0,23.0,Femme,Lafayet,pizza,
422.0,39.0,Femme,Ghazale,Burgers,
423.0,23.0,Homme,Cité Nasr,sandwitch,
424.0,25.0,Femme,Cité Intilaka,Crepe,
425.0,21.0,Femme,Ariana,makloub,
426.0,32.0,Homme,Borj louzir,Salade,
427.0,43.0,Femme,Manar,makloub,
428.0,23.0,Femme,Ghazale,pizza,
429.0,40.0,Femme,Manar,Burgers,
430.0,38.0,Femme,Borj louzir,Salade,
431.0,48.0,Homme,Lafayet,Burgers,
432.0,32.0,Homme,Cité Intilaka,Crepe,
433.0,41.0,Femme,Borj louzir,pizza,
434.0,46.0,Femme,Gamart,Burgers,
435.0,40.0,Femme,Manzeh,pizza,
436.0,54.0,Femme,Gamart,Salade,
437.0,24.0,Femme,Cité Intilaka,Crepe,
438.0,25.0,Femme,Borj louzir,sandwitch,
439.0,36.0,Femme,Borj louzir,Crepe,
440.0,25.0,Homme,Ariana,Burgers,
441.0,35.0,Femme,Marsa,Salade,
442.0,34.0,Femme,CentreHurbainNord,makloub,
443.0,21.0,Homme,Manzeh,Salade,
444.0,39.0,Femme,Manzeh,sandwitch,
445.0,22.0,Femme,Cité Intilaka,pizza,
446.0,40.0,Femme,Cité Nasr,pizza,
447.0,39.0,Femme,Marsa,Salade,
448.0,53.0,Femme,Gamart,Burgers,
449.0,47.0,Homme,Cité Intilaka,Salade,
450.0,46.0,Homme,Gamart,sandwitch,
451.0,23.0,Femme,lac1,sandwitch,
452.0,41.0,Homme,Ghazale,Crepe,
453.0,50.0,Femme,Cité Nasr,Crepe,
454.0,30.0,Femme,CentreHurbainNord,makloub,
455.0,26.0,Femme,Ghazale,sandwitch,
456.0,47.0,Femme,Cité tadamon,Salade,
457.0,22.0,Femme,lac1,Burgers,
458.0,55.0,Femme,lac1,makloub,
459.0,47.0,Femme,lac1,Burgers,
460.0,43.0,Femme,Manar,pizza,
461.0,40.0,Homme,Ghazale,Burgers,
462.0,22.0,Femme,lac1,pizza,
463.0,31.0,Femme,Borj louzir,makloub,
464.0,24.0,Homme,Cité Nasr,Burgers,
465.0,42.0,Homme,Ariana,Crepe,
466.0,19.0,Homme,Marsa,Salade,
467.0,38.0,Femme,Manar,Burgers,
468.0,47.0,Femme,CentreHurbainNord,makloub,
469.0,53.0,Femme,Cité Intilaka,Salade,
470.0,51.0,Femme,Marsa,makloub,
471.0,24.0,Femme,Cité Nasr,Burgers,
472.0,47.0,Femme,CentreHurbainNord,pizza,
473.0,32.0,Femme,Manzeh,Burgers,
474.0,40.0,Homme,CentreHurbainNord,Burgers,
475.0,37.0,Homme,Ariana,Burgers,
476.0,27.0,Femme,lac1,Salade,
477.0,23.0,Femme,Ghazale,Burgers,
478.0,37.0,Femme,lac1,Crepe,
479.0,20.0,Femme,Cité Nasr,sandwitch,
480.0,50.0,Femme,Ariana,pizza,
481.0,54.0,Femme,Ariana,pizza,
482.0,56.0,Femme,Ghazale,sandwitch,
483.0,18.0,Homme,Ariana,Burgers,
484.0,53.0,Homme,Gamart,Crepe,
485.0,30.0,Femme,Cité Intilaka,pizza,
486.0,22.0,Femme,Ariana,pizza,
487.0,40.0,Femme,Gamart,Salade,
488.0,26.0,Homme,Cité tadamon,Burgers,
489.0,43.0,Femme,Marsa,makloub,
490.0,32.0,Femme,Cité Nasr,pizza,
491.0,31.0,Femme,Manzeh,sandwitch,
492.0,45.0,Homme,Ghazale,sandwitch,
493.0,52.0,Homme,Manar,pizza,
494.0,25.0,Femme,Manar,sandwitch,
495.0,29.0,Femme,lac1,Salade,
496.0,33.0,Homme,Marsa,Salade,
497.0,46.0,Homme,Lafayet,makloub,
498.0,33.0,Femme,Cité tadamon,sandwitch,
499.0,45.0,Femme,CentreHurbainNord,makloub,
500.0,25.0,Femme,Cité Intilaka,Salade,
501.0,44.0,Femme,Gamart,makloub,
502.0,56.0,Homme,Manar,Salade,
503.0,42.0,Homme,Cité Nasr,pizza,
504.0,54.0,Femme,Borj louzir,Crepe,
505.0,27.0,Homme,Cité tadamon,Burgers,
506.0,25.0,Homme,Lafayet,pizza,
507.0,52.0,Femme,Ghazale,Crepe,
508.0,53.0,Homme,Manzeh,Burgers,
509.0,22.0,Homme,Cité Nasr,sandwitch,
510.0,29.0,Femme,Cité tadamon,Burgers,
511.0,44.0,Homme,Ghazale,sandwitch,
512.0,38.0,Femme,Cité Nasr,pizza,
513.0,48.0,Homme,Manar,Salade,
514.0,32.0,Femme,Ghazale,Burgers,
515.0,49.0,Femme,Marsa,Crepe,
516.0,30.0,Femme,Marsa,Salade,
517.0,53.0,Homme,Cité Intilaka,Crepe,
518.0,55.0,Femme,Cité Nasr,makloub,
519.0,45.0,Homme,Gamart,Crepe,
520.0,23.0,Homme,Lafayet,pizza,
521.0,31.0,Femme,Gamart,makloub,
522.0,38.0,Femme,Ariana,Salade,
523.0,32.0,Femme,Manzeh,makloub,
524.0,39.0,Femme,lac1,Crepe,
525.0,38.0,Femme,Cité Intilaka,makloub,
526.0,45.0,Femme,Marsa,Burgers,
527.0,33.0,Homme,Cité Nasr,sandwitch,
528.0,36.0,Homme,Borj louzir,sandwitch,
529.0,38.0,Femme,Ariana,Salade,
530.0,28.0,Homme,CentreHurbainNord,Burgers,
531.0,52.0,Homme,Cité Nasr,Salade,
532.0,44.0,Femme,Ghazale,sandwitch,
533.0,51.0,Femme,Ariana,Salade,
534.0,49.0,Homme,Manzeh,pizza,
535.0,22.0,Femme,CentreHurbainNord,Salade,
536.0,40.0,Femme,lac1,sandwitch,
537.0,26.0,Homme,Marsa,sandwitch,
538.0,43.0,Homme,Borj louzir,pizza,
539.0,30.0,Homme,Borj louzir,Burgers,
540.0,53.0,Homme,Cité Nasr,sandwitch,
541.0,29.0,Homme,Lafayet,pizza,
542.0,48.0,Homme,Manar,sandwitch,
543.0,27.0,Femme,Ghazale,pizza,
544.0,47.0,Femme,Manzeh,Burgers,
545.0,33.0,Femme,Cité Intilaka,Burgers,
546.0,19.0,Femme,Cité Nasr,sandwitch,
547.0,18.0,Femme,Marsa,Salade,
548.0,51.0,Homme,Manzeh,makloub,
549.0,24.0,Femme,Cité Intilaka,makloub,
550.0,52.0,Homme,Cité tadamon,makloub,
551.0,50.0,Homme,lac1,Burgers,
552.0,52.0,Femme,Lafayet,sandwitch,
553.0,43.0,Homme,lac1,pizza,
554.0,24.0,Femme,lac1,makloub,
555.0,31.0,Femme,Borj louzir,Burgers,
556.0,25.0,Homme,Cité Nasr,makloub,
557.0,54.0,Homme,CentreHurbainNord,sandwitch,
558.0,37.0,Homme,Marsa,pizza,
559.0,19.0,Homme,Marsa,makloub,
560.0,40.0,Homme,Gamart,sandwitch,
561.0,45.0,Homme,CentreHurbainNord,makloub,
562.0,28.0,Femme,Cité tadamon,pizza,
563.0,25.0,Femme,Cité Nasr,pizza,
564.0,50.0,Homme,Gamart,pizza,
565.0,54.0,Femme,Ariana,Salade,
566.0,38.0,Homme,Marsa,Burgers,
567.0,42.0,Femme,Lafayet,Burgers,
568.0,35.0,Homme,Cité Nasr,sandwitch,
569.0,43.0,Homme,Borj louzir,Crepe,
570.0,44.0,Femme,lac1,pizza,
571.0,30.0,Homme,Lafayet,pizza,
572.0,18.0,Femme,Manar,makloub,
573.0,56.0,Femme,CentreHurbainNord,makloub,
574.0,52.0,Femme,Cité Intilaka,pizza,
575.0,36.0,Homme,Marsa,Burgers,
576.0,46.0,Homme,Manar,sandwitch,
577.0,22.0,Homme,Gamart,sandwitch,
578.0,48.0,Femme,Ghazale,Salade,
579.0,42.0,Homme,Lafayet,makloub,
